metric,value
max_lead_hours,23
total_issued_times,29
total_pairs,664
total_correct,599
overall_accuracy_pct,90.21
avg_accuracy_per_issued_pct,89.88
best_issued_time,2026:02:10T12:00:00
best_issued_accuracy_pct,100.0
worst_issued_time,2026:02:14T00:00:00
worst_issued_accuracy_pct,68.18
total_hits,7
total_misses,30
total_false_alarms,35
total_correct_negatives,592
obs_rain_events,37
obs_no_rain_events,627
fc_rain_events,42
fc_no_rain_events,622
