lead_time_bucket,n_pairs,mae,rmse,mean_obs,mean_forecast,bias
0-6h,164,0.5878,2.5312,0.5122,0.1827,-0.3295
6-12h,159,1.9629,7.3021,1.1245,1.1943,0.0698
12-24h,311,1.563,6.0176,0.818,0.9277,0.1096
24-48h,586,1.292,5.3591,0.8662,0.7251,-0.1411
48-72h,538,1.5784,6.2114,0.9212,0.7677,-0.1535
72-96h,490,1.2627,5.5796,0.9894,0.4582,-0.5312
96-120h,447,1.4868,6.033,0.9557,0.6604,-0.2953
120-144h,332,1.4907,5.8326,0.8458,0.7328,-0.113
