metric,value
max_lead_hours,23
total_issued_times,29
total_pairs,634
total_correct,531
overall_accuracy_pct,83.75
avg_accuracy_per_issued_pct,84.52
best_issued_time,2026:02:13T00:00:00
best_issued_accuracy_pct,100.0
worst_issued_time,2026:02:19T12:00:00
worst_issued_accuracy_pct,66.67
total_hits,17
total_misses,46
total_false_alarms,57
total_correct_negatives,514
obs_rain_events,63
obs_no_rain_events,571
fc_rain_events,74
fc_no_rain_events,560
