metric,value
max_lead_hours,24
total_issued_times,29
total_pairs,711
total_correct,661
overall_accuracy_pct,92.97
avg_accuracy_per_issued_pct,93.09
best_issued_time,2026:02:09T00:00:00
best_issued_accuracy_pct,100.0
worst_issued_time,2026:02:17T00:00:00
worst_issued_accuracy_pct,72.0
total_hits,0
total_misses,0
total_false_alarms,50
total_correct_negatives,661
obs_rain_events,0
obs_no_rain_events,711
fc_rain_events,50
fc_no_rain_events,661
