metric,value
max_lead_hours,23
total_issued_times,29
total_pairs,684
total_correct,635
overall_accuracy_pct,92.84
avg_accuracy_per_issued_pct,92.24
best_issued_time,2026:02:10T12:00:00
best_issued_accuracy_pct,100.0
worst_issued_time,2026:02:23T00:00:00
worst_issued_accuracy_pct,58.33
total_hits,0
total_misses,0
total_false_alarms,49
total_correct_negatives,635
obs_rain_events,0
obs_no_rain_events,684
fc_rain_events,49
fc_no_rain_events,635
